1,1,2,3,300.000000,5000.000000,10000.000000,20230920164617
2,1,1,1,500.000000,4700.000000,4700.000000,20230920194936
3,2,2,2,1200.000000,10300.000000,10300.000000,20230920195038
4,2,1,3,400.000000,11500.000000,4200.000000,20230920195100
5,2,2,1,200.000000,11100.000000,11100.000000,20230920204541
6,2,2,1,51.000000,10900.000000,10900.000000,20230920215756
7,2,2,2,51.000000,10849.000000,10849.000000,20230920221308
8,2,2,1,30.000000,10900.000000,10900.000000,20230920221311
9,2,2,1,203.000000,10870.000000,10870.000000,20230920221415
10,2,2,2,505.000000,10667.000000,10667.000000,20230920221851
11,2,2,2,320.000000,11172.000000,11172.000000,20230920222010
12,2,2,2,30.000000,11492.000000,11492.000000,20230920222205
